License No.,Business Name,DBA,License Type,City,County,Expiration
GAAA-EUQP-ADFN,"Thrive High Cultivation, LLC","Thrive High Cultivation, LLC",Grower,MOUNDS,Creek,8/22/2023
DAAA-RTMM-NPDV,River Bend 420 Incorporated,River Bend 420,Dispensary,CHICKASHA,Grady,7/5/2023
DAAA-5WWY-PFZU,Hootie's Enchanted Garden LLC,Hootie's Enchanted Garden LLC,Dispensary,LAWTON,Comanche,7/13/2023
DAAA-VKHC-ZVMP,"Eli's Choice, LLC",Eli's Choice,Dispensary,MANNFORD,Creek,11/2/2022
PAAA-IMTS-JPMO,Divine Kind LLC,Divine Kind,Processor,TULSA,Tulsa,6/20/2023
DAAA-IT3Z-CZOF,Exotic Meds of Oklahoma LLC,Exotic Meds of Oklahoma,Dispensary,SEMINOLE,Seminole,3/29/2023
GAAA-KKPJ-8ZYL,BCB LLC,BCB LLC,Grower,BARTLESVILLE,Washington,2/7/2023
GAAA-N1JN-UMH4,Native Harvest Farm LLC,Gotham Gardens,Grower,NORMAN,McClain,11/13/2023
GAAA-4YHP-XRZ2,Givens Greens LLC,Givens Greens. LLC,Grower,ARCADIA,Logan,9/22/2023
DAAA-4Y5M-A86S,"Alternative Cures, LLC","Alternative Cures, LLC",Dispensary,WOODWARD,Woodward,8/3/2023
DAAA-EKCA-1V0Q,SB Bethany LLC,SB Bethany,Dispensary,BETHANY,Oklahoma,1/14/2023
GAAA-GPMT-2BR4,Integrity Investment Group INC,Integrity Investment Group,Grower,MANNFORD,Creek,7/19/2022
DAAA-4Y6N-TK5I,"Top Shelf Medicinals on Broadway , LLC","Top Shelf Medicinals on Broadway , LLC",Dispensary,POTEAU,Le Flore,11/6/2023
GAAA-CHX3-IYW5,Deadhead Cannabis Company LLC,Deadhead Cannabis Company LLC,Grower,OKLAHOMA CITY,Oklahoma,11/13/2023
PAAA-Y0WD-VZZP,Kim's Connections,XLNT Cannabis,Processor,EDMOND,Oklahoma,12/22/2023
DAAA-4KSS-JC83,Ponca City Dispensary Inc,Vice Dispensary,Dispensary,MIDWEST CITY,Oklahoma,11/10/2023
GAAA-CEKV-EVSJ,KWABEMA LLC,KWABEMA LLC,Grower,NEWALLA,Cleveland,12/27/2022
PAAA-NYYF-8CFY,Altcare 7 LLC,The Dab Lab,Processor,OKLAHOMA CITY,Oklahoma,10/10/2023
GAAA-V1ZA-BACB,"Smokers Pharm, LLC",QM Naturegenics,Grower,TULSA,Tulsa,5/16/2023
DAAA-QPXG-QOX0,"WandH Farms, LLC.",Elite Cannabis Farms,Dispensary,DURANT,Bryan,12/14/2022
PAAA-JNBG-ISYD,"300 Main, LLC","300 Main, LLC",Processor,Purcell,McClain,7/17/2023
DAAA-4YC9-4O86,Gold Leaf Cannabis LLC,Gold Leaf Cannabis LLC,Dispensary,FAIRVIEW,Major,12/21/2023
GAAA-41RO-CGJ1,Sublime Agronomy Corp.,Sublime Agronomy Corp.,Grower,QUINTON,Pittsburg,3/1/2024
DAAA-V1LV-DSVS,Altcare 4 LLC,Fire Leaf 4,Dispensary,GUTHRIE,Logan,9/18/2023
GAAA-HHVK-JG5J,Peace OK Farms LLC,Peace OK Farms,Grower,KEOTA,Haskell,6/16/2023
GAAA-4KLM-WKWU,"OKAF, Inc",Apothecary Extracts,Grower,BEGGS,Okmulgee,4/6/2024
GAAA-EYVE-LKAF,"Usher Rx, L.L.C.",Usher Rx,Grower,BETHANY,Oklahoma,3/29/2024
GAAA-CTFP-ZO9V,"Black Label Labs, Inc.","Black Label Labs, Inc.",Grower,Skiatook,Osage,10/16/2023
GAAA-VJBT-XJ4B,LEWIS SCOTT COUCH,C4 Greenery,Grower,PRYOR,Mayes,3/8/2024
DAAA-HW7P-A56R,SB 1207 12th Ave NE LLC,Star Buds Medical Dispensary Norman,Dispensary,NORMAN,Cleveland,9/27/2023
PAAA-XKWH-QK0V,"Redneck Reserve, LLC","Redneck Reserve, LLC",Processor,MCALESTER,Pittsburg,5/19/2024
GAAA-E1ZZ-KJF3,"E5 FARMS, LLC",E5 FARMS LLC,Grower,BRISTOW,Creek,9/26/2023
DAAA-P7VD-PILT,Vault Dispensary LLC,Vault Dispensary LLC,Dispensary,ADA,Pontotoc,9/8/2023
LAAA-N1FX-P5VY,"OK Compliance Testing Lab, LLC",OKCTL,Testing Laboratory,Tulsa,Tulsa,2/14/2024
DAAA-OSAQ-HXQJ,The Vault By Grow Happy Farms LLC.,The Vault By Grow Happy Farms LLC.,Dispensary,Muskogee,Muskogee,8/18/2023
DAAA-QMNC-1XOK,Red Label Dispensary LLC,Red Label Dispensary LLC,Dispensary,STILLWATER,Payne,7/5/2023
PAAA-RWVE-HLME,AAA Cannabis Distribution LLC,AAA Cannabis Distribution LLC,Processor,OKLAHOMA CITY,Oklahoma,8/30/2023
DAAA-XVUO-ZZIX,"Joint Pain Alva, LLC",Highdrated Cannabis LLC,Dispensary,ALVA,Woods,7/26/2023
GAAA-XXVU-HMW5,Big Buddha LLC,Big Buddha,Grower,BIXBY,Tulsa,8/1/2023
GAAA-KBM6-IXSX,B and B Nursery LLC,Holistic Flower Co.,Grower,Oklahoma City,Cleveland,6/28/2023
GAAA-UMNE-J2KS,NAVAJO GOLD LLC,NAVAJO GOLD LLC,Grower,ADA,Pontotoc,10/18/2023
GAAA-UGEV-HMEP,"Ride Industries, LLC",Ride Industries,Grower,TULSA,Creek,9/15/2023
GAAA-YSBS-XEQX,TDV GARDEN LLC,TDV GARDEN LLC,Grower,noble,Cleveland,7/24/2023
DAAA-E1JZ-MY2H,"SHREE SHIVAM, INC.","SHREE SHIVAM, INC.",Dispensary,DURANT,Bryan,9/20/2023
GAAA-GT7M-NXZF,X HEALTH LLC,X HEALTH LLC,Grower,Wister,Le Flore,12/11/2023
GAAA-PMKG-UHY8,ZMAT LLC,ZMAT LLC,Grower,SEMINOLE,Seminole,5/23/2024
PAAA-FILS-7BLA,Raw Processing LLC,Raw Processing,Processor,CUSHING,Payne,9/22/2023
GAAA-H3XM-SJRO,4T SUCCESSFULLY LLC,4T SUCCESSFULLY LLC,Grower,BIXBY,Tulsa,8/28/2023
DAAA-EKMU-IYCX,Test Hippie Cures LLC,Test Hippie Cures,Dispensary,CARNEGIE,Caddo,12/19/2023
GAAA-M0MD-X8LK,O.K. Corral Grow Farms LLC,O.K. Corral Grow Farms LLC,Grower,Okmulgee,Okmulgee,9/15/2022
GAAA-V19Q-HUVV,Daves Not Here Cannabis Company,Daves Not Here Cannabis Company,Grower,LUTHER,Oklahoma,2/2/2024
DAAA-HCWS-SSUS,proper cannabis llc,proper cannabis llc,Dispensary,Norman,Cleveland,9/13/2023
DAAA-T1HY-1XUR,Nice Dreamz Collective LLC,Nice Dreamz Collective LLC,Dispensary,LAWTON,Comanche,12/14/2023
GAAA-BUQA-45ME,Elroscoe llc.,Cheezy green,Grower,APACHE,Comanche,9/26/2023
DAAA-VKIH-IZIT,"Corporation Asset Network Association, LLC",Minerva Canna of Oklahoma,Dispensary,GROVE,Delaware,2/8/2024
GAAA-41MR-GOQ8,"4-C's Enterprises, LLC","4-C's Enterprises, LLC",Grower,Coweta,Wagoner,3/30/2024
GAAA-VJEI-YM0L,Melinn Farm LLC,Melinn Farm LLC,Grower,NOBLE,Cleveland,3/7/2024
