License No.,Business Name,DBA,License Type,City,County,Expiration
GAAA-3BY9-TMP0,"UFGOP, LLC","UFGOP, LLC",Grower,Eufaula,McIntosh,12/23/2023
DAAA-U0MM-1HYM,"Peyea Cannabis, LLC","Peyea Cannabis, LLC",Dispensary,MERIDIAN,Logan,12/23/2023
PAAA-6I2Z-7VNQ,Processing Team Inc,Processing Team Inc,Processor,Moore,Cleveland,12/23/2023
GAAA-RDA6-TV5B,"Peyea Cannabis Cultivation, LLC","Peyea Cannabis Cultivation, LLC",Grower,MERIDIAN,Logan,12/23/2023
PAAA-2Z4S-C5R2,"Peyea Processing, LLC","Peyea Processing, LLC",Processor,Meridian,Logan,12/23/2023
GAAA-AC72-O23I,DZG Gardens LLC,DZG Gardens LLC,Grower,Edmond,Logan,12/23/2023
DAAA-IAQ6-PHAE,"Wholesale Cannabis Company 1, LLC","Wholesale Cannabis Company 1, LLC",Dispensary,Mounds,Creek,12/23/2023
GAAA-HQVH-8FYP,Cumulonimbus Holdings Inc.,Cumulonimbus Holdings Inc.,Grower,Cyril,Caddo,12/23/2023
GAAA-39AE-KQD9,Alika Fonchelle Lee,Alika Fonchelle Lee,Grower,WYNNEWOOD,Garvin,12/23/2023
PAAA-MG0W-8KIP,Airship Press Company LLC,Airship Press Co,Processor,Edmond,Logan,12/23/2023
GAAA-ZBHC-MKJW,"Ash Hole Creations, LLC","Ash Hole Creations, LLC",Grower,Oklahoma City,Oklahoma,12/23/2023
GAAA-AA3Z-S7D9,"Land Locked Genetics, LLC","Land Locked Genetics, LLC",Grower,Luther,Oklahoma,12/23/2023
GAAA-PKGQ-4T9Z,Krokspot LLC,Krokspot LLC,Grower,Seminole,Seminole,12/23/2023
GAAA-VPKV-H1DN,KB Highgarden,KB Highgarden,Grower,Sand Springs,Osage,12/23/2023
GAAA-N2CK-JRK5,The Crop Group LLC,The Crop Group LLC,Grower,Tecumseh,Pottawatomie,12/23/2023
DAAA-NK3S-7QCY,Simply Plus Fire LLC,Simply Plus Fire LLC,Dispensary,Bartlesville,Washington,12/23/2023
GAAA-7UED-JTFT,RR2GP ENTERPRISE LLC,F.O.G Farms,Grower,Macomb,Pottawatomie,12/23/2023
GAAA-JHXP-BANH,RR2GP ENTERPRISE LLC,F.O.G Farms,Grower,MACOMB,Pottawatomie,12/23/2023
GAAA-N4FV-F09Q,"RMR Greenery, LLC","RMR Greenery, LLC",Grower,Claremore,Rogers,12/23/2023
DAAA-0EJR-CDM9,Asch Down Cannabis LLC,Asch Down Cannabis LLC,Dispensary,Clayton,Pushmataha,12/23/2023
PAAA-1ZSI-LWB7,Legacy Processing LLC,Legacy Processing LLC,Processor,Jay,Delaware,12/28/2023
PAAA-WSZ0-X1R3,Thunder Puffs LLC,Thunder Puffs,Processor,Owasso,Tulsa,12/28/2023
GAAA-RV7G-GOX5,Heartland Hydroponics of Oklahoma LLC,Heartland Hydroponics of Oklahoma LLC,Grower,Beggs,Okmulgee,12/28/2023
GAAA-4Q0J-BK8X,Christopher DarkLight,DarkLight Productions,Grower,Haworth,McCurtain,12/28/2023
DAAA-IBQO-YOVC,Frost Cannabis LLC,Frost Cannabis LLC,Dispensary,Tulsa,Tulsa,12/28/2023
GAAA-6BA6-90VS,"Green Life Gardens, LLC","Green Life Gardens, LLC",Grower,Oklahoma City,Oklahoma,12/28/2023
DAAA-4WI4-MIR2,the lighthouse dispensary 2 llc,the lighthouse dispensary 2 llc,Dispensary,Oklahoma City,Oklahoma,12/28/2023
PAAA-56M8-4KIV,TWISTED KITCHEN LLC,TWISTED KITCHEN LLC,Processor,OKMULGEE,Okmulgee,12/28/2023
PAAA-KFZ6-6OXA,BREAK ROOM HOLDINGS LLC,BREAK ROOM HOLDINGS LLC,Processor,KINGSTON,Marshall,12/28/2023
GAAA-FEC6-F1JZ,BREAK ROOM HOLDINGS LLC,BREAK ROOM HOLDINGS LLC,Grower,KINGSTON,Marshall,12/28/2023
DAAA-OJ8K-5BW4,TK Organics LLC,TK Organics LLC,Dispensary,Muskogee,Muskogee,12/28/2023
GAAA-SW1X-X5H9,Travis Ward,Cultifaded,Grower,Ardmore,Carter,12/28/2023
GAAA-IWJU-23C5,1440 LONE WOLF LLC,1440 LONE WOLF LLC,Grower,LONE WOLF,Kiowa,12/28/2023
DAAA-2JDV-QFW0,BREAK ROOM HOLDINGS LLC,BREAK ROOM HOLDINGS LLC,Dispensary,KINGSTON,Marshall,12/28/2023
GAAA-N225-IVXC,Ginger London,Ginger London,Grower,Purcell,McClain,12/28/2023
DAAA-0AWL-8WAE,The greenhouse and supply co #5 llc,The greenhouse and supply co #5 llc,Dispensary,Rush springs,Grady,12/28/2023
GAAA-Y7LT-PVB6,QHC66 LLC,QHC66 LLC,Grower,ERICK,Beckham,12/28/2023
GAAA-DFZC-QRDB,Victor Rivera,Hochatown Confidential,Grower,Broken Bow,McCurtain,12/28/2023
GAAA-L8KX-7ISL,Daniel Brent Waldorf,Daniel Brent Waldorf,Grower,Fletcher,Comanche,12/28/2023
DAAA-MITV-3JE2,Exhale Brand TWO LLC,Exhale Brand TWO LLC,Dispensary,Shawnee,Pottawatomie,12/28/2023
DAAA-HFYP-RJE5,CNC Retailers LLC,CNC Retailers LLC,Dispensary,Broken Bow,McCurtain,12/28/2023
GAAA-K86X-IJPZ,lovely greens inc,lovely greens,Grower,noble,Cleveland,12/28/2023
PAAA-BGV9-N4CI,Sun Valley Management LLC,Sun Valley Management LLC,Processor,Chouteau,Mayes,12/28/2023
GAAA-7INF-VE1X,Pure Hydro LLC,Pure Hydro LLC,Grower,Haskell,Muskogee,12/28/2023
PAAA-G643-162H,"Stars and Stripes Processing, LLC","Stars and Stripes Processing, LLC",Processor,Noble,Cleveland,12/28/2023
GAAA-DJW7-SE9Y,The Arkoma Cannabis Company,Green Monkey Growers,Grower,Tulsa,Tulsa,12/28/2023
GAAA-19ZE-PB1S,"Dos Bros Organics, LLC.","Dos Bros Organics, LLC.",Grower,snyder,Kiowa,12/28/2023
GAAA-DBSX-SWO6,Trifecta Cultivation and Processing LLC,Trifecta Cultivation and Processing LLC,Grower,lawton,Comanche,12/28/2023
PAAA-54E3-SI0M,Smiley Farms LLC,Smiley Farms LLC,Processor,Coleman,Atoka,12/28/2023
DAAA-RV7B-QGDF,"Red-Tail Dispensary, LLC",Red-Tail Dispensary,Dispensary,Kingfisher,Kingfisher,12/28/2023
DAAA-SI2Y-UCJ9,"V2 INOVATIONS CO., LTD.","V2 INOVATIONS CO., LTD.",Dispensary,Dustin,Hughes,12/28/2023
GAAA-VUDT-MBHK,Medcan llc,Medcan llc,Grower,Crescent,Kingfisher,12/28/2023
PAAA-E9IQ-JFNN,Indie Flower Inc,Indie Flower Inc,Processor,Fairland,Ottawa,12/28/2023
DAAA-R5AK-8OAH,TGM Farms LLC,TGM Farms LLC,Dispensary,ATOKA,Atoka,12/28/2023
GAAA-1YT0-FA41,Cannabees Creek LLC,Cannabees Creek LLC,Grower,Kellyville,Creek,12/28/2023
DAAA-5DN8-USYT,"SOCO, LLC",Pot Lizard,Dispensary,South Coffeyville,Nowata,12/28/2023
DAAA-MENL-0E0Z,SHAKE SHACK LLC,SHAKE SHACK LLC,Dispensary,LAWTON,Comanche,12/28/2023
DAAA-YUJG-U6NP,Lokol Smokehouse LLC,Bigfoot Cannabis Co. II,Dispensary,Wagoner,Wagoner,12/28/2023
PAAA-ZEDR-TUDG,Goat Smoke 710,Goat Smoke 710,Processor,Durant,Bryan,12/28/2023
PAAA-4MUB-5ZJ6,"Johnson Cannabis Company, LLC","Johnson Cannabis Company, LLC",Processor,Edmond,Oklahoma,12/28/2023
GAAA-5P1Y-R4IP,SKYROCKET GROWERS LLC,SKYROCKET GROWERS LLC,Grower,spencer,Oklahoma,12/28/2023
GAAA-HVL5-IEFI,DEO LLC,DEO LLC,Grower,Pryor,Mayes,12/29/2023
PAAA-2T6X-9DL9,"Okmulgee Enterprises, LLC","Okmulgee Enterprises, LLC",Processor,muskogee,Muskogee,12/29/2023
DAAA-8IWY-9ATY,Flower Headz LLC,Flower Headz,Dispensary,Ada,Pontotoc,12/29/2023
GAAA-65ZW-CEHP,"Honey Creek Organics, LLC","Honey Creek Organics, LLC",Grower,Grove,Delaware,12/29/2023
PAAA-Y92T-96RR,Jake's Label LLC,Jake's Label,Processor,Lawton,Comanche,12/29/2023
GAAA-1F26-1QQ2,"405 HIGH LIFE, LLC","405 HIGH LIFE, LLC",Grower,SPIRO,Le Flore,12/29/2023
PAAA-ILXN-HB2S,Cheryl Moore James Moore and Daniel Reyes Beaver Mt Budz,Cheryl Moore James Moore and Daniel Reyes Beaver Mt Budz,Processor,STIGLER,Haskell,12/29/2023
PAAA-G22P-83F7,"Jett Cultivation, Inc",Fire Fresh Farms,Processor,Locust Grove,Mayes,12/29/2023
GAAA-C5GV-Z19G,Gatewood Grows LLC,Gatewood Grows LLC,Grower,Braman,Kay,12/29/2023
PAAA-UIEZ-PM3L,SUN GLOW FARMS PROCESSOR LLC,SUN GLOW FARMS PROCESSOR LLC,Processor,FOSTER,Stephens,12/29/2023
DAAA-522D-1DS2,Kings Of Kannabis Exotics Llc,Kings Of Kannabis Exotics Llc,Dispensary,pauls valley,Garvin,12/29/2023
GAAA-RZSV-R5Q3,Phoenix Awakening LLC,Phoenix Awakening LLC,Grower,Edmond,Logan,12/29/2023
GAAA-5WCT-VL9M,Paradise Ag LLC,Paradise Ag LLC,Grower,Coyle,Logan,12/29/2023
PAAA-WFBP-LT66,Delta Nine Cannabis Corp.,Delta Nine Cannabis Dispensary,Processor,Enid,Garfield,12/29/2023
DAAA-5H1Z-GFSQ,KTRC SOLUTIONS ONE LLC,KTRC SOLUTIONS ONE LLC,Dispensary,APACHE,Caddo,12/29/2023
PAAA-S8L8-FTHU,Cryo Processing of Oklahoma LLC,Cryo Processing of Oklahoma LLC,Processor,Skiatook,Osage,12/29/2023
GAAA-XE0Q-KLA9,PottaRomulus LLC,PottaRomulus LLC,Grower,Maud,Pottawatomie,12/29/2023
DAAA-9A5F-RW04,Highbiz Spot LLC,Highbiz Spot LLC,Dispensary,Muskogee,Muskogee,12/29/2023
PAAA-9IF0-UIGU,Best M Processing LLC,Best M Processing LLC,Processor,Roff,Pontotoc,12/29/2023
GAAA-FNHV-BHF1,NOOR FARMS LLC,NOOR FARMS LLC,Grower,Crescent,Logan,12/29/2023
GAAA-GXST-9PQW,Pristine Elevation LLC,Pristine Elevation LLC,Grower,Muskogee,Muskogee,12/29/2023
GAAA-26T9-PG3Y,NEW ERA FARMS LLC,NEW ERA FARMS LLC,Grower,Crescent,Logan,12/29/2023
GAAA-Y780-TICF,PROGRESSIVE FARMS LLC,PROGRESSIVE FARMS LLC,Grower,Crescent,Logan,12/29/2023
GAAA-3SJV-H5UX,HERCULES FARMS LLC,HERCULES FARMS LLC,Grower,Crescent,Logan,12/29/2023
GAAA-FQC9-1OSK,SAMMY'S FARMS LLC,SAMMY'S FARMS LLC,Grower,Crescent,Logan,12/29/2023
DAAA-RCWU-JHX5,Canna Land LLC,Canna Land LLC,Dispensary,Moore,Cleveland,12/29/2023
GAAA-BR0E-JJJM,"Pure Green, LLC","Pure Green, LLC",Grower,Wanette,Pottawatomie,12/29/2023
PAAA-FMIB-JW6T,Earthwise Cannabis Operations,"Earthwise Organics, LLC",Processor,Glencoe,Payne,12/29/2023
GAAA-GG2J-84UH,Emerald Eclipse Pharms LLC,Emerald Eclipse Pharms LLC,Grower,Durant,Bryan,12/29/2023
GAAA-O3TX-1OML,Top Products LLC,#NAME?,Grower,Enid,Garfield,12/29/2023
DAAA-ECEQ-DJNM,"KINGDICA, LLC","KINGDICA, LLC",Dispensary,Oklahoma City,Oklahoma,12/29/2023
GAAA-9538-I4BZ,SAMS FARMS LLC,SAMS FARMS LLC,Grower,Crescent,Logan,12/29/2023
DAAA-55AL-C4GK,SAJ Group LLC,Buddies Cannabis Co - 89TH,Dispensary,Oklahoma City,Oklahoma,12/29/2023
DAAA-W77X-W4HN,Kush Museum,Kush Museum,Dispensary,Oklahoma City,Oklahoma,12/29/2023
GAAA-9CBM-QIRR,LJ FARMS LLC,LJ FARMS LLC,Grower,Crescent,Logan,12/29/2023
DAAA-PUD7-DKQY,Medville Agriculture Inc,Medville Agriculture Inc,Dispensary,Coyle,Logan,12/29/2023
GAAA-3P7N-TU30,MASTER FARMS LLC,MASTER FARMS LLC,Grower,Crescent,Logan,12/29/2023
DAAA-EGM2-2ZFT,Elysian Vision Inc,Elysian Vision Inc,Dispensary,MACOMB,Pottawatomie,12/29/2023
GAAA-M0KQ-ZD9T,Bloomington Group LLC,Doozy Dispensary,Grower,Oklahoma City,Oklahoma,12/29/2023
GAAA-TYGP-KH3K,ANA Group LLC,ANA Group LLC,Grower,Oklahoma City,Oklahoma,12/29/2023
PAAA-XY9Y-FD30,Susan Carol Henderson,Susan Carol Henderson,Processor,Noble,Cleveland,12/29/2023
PAAA-ALHZ-ASPE,"KHHK, LLC","KHHK, LLC",Processor,Tulsa,Tulsa,12/29/2023
PAAA-2NB3-9VPT,Med Time LLC,Med Time LLC,Processor,Oklahoma City,Oklahoma,12/29/2023
DAAA-5F0D-0T9Y,Veronica Brents-Sole Proprietorship,Bud Mart,Dispensary,Idabel,McCurtain,12/30/2023
DAAA-4HJ8-WDZZ,"KLL Holdings, Inc.","KLL Holdings, Inc.",Dispensary,Chattanooga,Cotton,12/30/2023
GAAA-PCG5-TLR4,"585 Farm, LLC",585 Farm,Grower,Locust Grove,Mayes,12/30/2023
DAAA-RTLT-WHJX,Green Goddess Dispensary,Green Goddess Dispensary,Dispensary,Broken Arrow,Tulsa,12/30/2023
PAAA-52RL-6IFK,"AmberCloud Company, LLC","AmberCloud Company, LLC",Processor,Oklahoma City,Oklahoma,12/30/2023
PAAA-6QZI-4CBZ,Jason Oliver,Alma Cannabis,Processor,Duncan,Stephens,12/30/2023
DAAA-V3T3-HB7O,Vedana Dispensary OKC LLC,Vedana L.L.C.,Dispensary,Oklahoma City,Oklahoma,12/30/2023
DAAA-RV73-37BU,H2Organics LLC,Canna Crib,Dispensary,Ardmore,Carter,12/30/2023
GAAA-42DL-CBVD,Telluride legacy farm’s LLC,Telluride legacy farm’s,Grower,Haskell,Muskogee,12/30/2023
DAAA-OS8X-BM5V,Cannabis Unlimited II,Cannabis Unlimited II,Dispensary,stilwell,Adair,12/30/2023
GAAA-DHQ9-V60F,"GOD'S PLAN 2, LLC","GOD'S PLAN 2, LLC",Grower,Edmond,Logan,12/30/2023
DAAA-0VGE-Q7UF,"GOD'S PLAN 2, LLC","GOD'S PLAN 2, LLC",Dispensary,Edmond,Logan,12/30/2023
DAAA-IF06-I98K,Mark Horstman and Anette Horstman,Valhalla Meds/ Valhalla Dispensary,Dispensary,Heavener,Le Flore,12/30/2023
GAAA-0D3E-FNYK,Tree of Life Cultivation LLC,Tree of Life Cultivation,Grower,Blanchard,McClain,12/30/2023
PAAA-B4VR-MJ05,"GOD'S PLAN 2, LLC","GOD'S PLAN 2, LLC",Processor,Edmond,Logan,12/30/2023
DAAA-DTLX-2IW9,"4H Pharms, LLC",Dank Direct,Dispensary,ADA,Pontotoc,12/30/2023
DAAA-E7YP-CZXX,VETERANS ENERGIZING AMERICA LLC,VETERANS ENERGIZING AMERICA LLC,Dispensary,Norman,Cleveland,12/30/2023
GAAA-NHKQ-AQ96,Mellow Farms LLC,Mellow Farms LLC,Grower,Wewoka,Hughes,12/30/2023
GAAA-D7GG-CYBX,"KINDRED CREATURES 2, L.L.C.","KINDRED CREATURES 2, L.L.C.",Grower,Wynnewood,Garvin,12/30/2023
DAAA-A7PU-USSV,Bao Loc Enterprises LLC,Jade Dispensary #2,Dispensary,Oklahoma City,Oklahoma,12/30/2023
GAAA-ZS7Q-WOP1,"178500 Duncan, LLC","178500 Duncan, LLC",Grower,Duncan,Stephens,12/30/2023
DAAA-D0JW-FT2N,"Sun Glow Farms Dispensary, LLC","Sun Glow Farms Dispensary, LLC",Dispensary,Foster,Stephens,12/30/2023
DAAA-PEZJ-FV8Y,"178500 Duncan, LLC","178500 Duncan, LLC",Dispensary,Duncan,Stephens,12/30/2023
DAAA-ML4X-23F8,"RON CLARK ENTERPRISES,INC",TRICHOME SOLUTIONS,Dispensary,Harrah,Oklahoma,12/30/2023
GAAA-XKJC-MPO2,Wildflower Global LLC,Wildflower Global LLC,Grower,Madill,Marshall,12/30/2023
GAAA-BPD3-4KSJ,VHF Holdings LLC,VHF Holdings LLC,Grower,Vian,Sequoyah,12/30/2023
GAAA-MSC2-0DKS,The Chosen Few Farms,The Chosen Few Farms,Grower,Tecumseh,Pottawatomie,12/30/2023
PAAA-MYXR-93FW,"178500 Duncan, LLC","178500 Duncan, LLC",Processor,Duncan,Stephens,12/30/2023
DAAA-UDWB-Z94D,Cutlass Cannabis LLC,Cutlass Cannabis LLC,Dispensary,Alex,Grady,12/30/2023
PAAA-BU79-5C5E,Cutlass Cannabis LLC,Cutlass Cannabis LLC,Processor,Alex,Grady,12/30/2023
GAAA-Y7NN-6KRI,Cutlass Cannabis LLC,Cutlass Cannabis LLC,Grower,Claremore,Rogers,12/30/2023
GAAA-CMR8-GDBR,Mihm Pharmz LLC,Mihm Pharmz LLC,Grower,Colbert,Bryan,12/30/2023
GAAA-YZD5-07O7,James Reginal Shaver,Cloud 9 Cannabis Growers,Grower,SMITHVILLE,McCurtain,12/30/2023
GAAA-A0C7-8V71,DRM LLC,DRM LLC,Grower,Tulsa,Tulsa,12/30/2023
DAAA-MS33-ON31,Green Soul Dispensary,Green Soul Dispensary,Dispensary,gracemont,Caddo,12/30/2023
PAAA-JIYC-0DDS,Breadman Distribution LLC,Breadman Distribution LLC,Processor,Sayre,Beckham,12/30/2023
GAAA-NCC2-GGCW,Mariteq Growers LLC,Redbird Growers,Grower,Stroud,Lincoln,12/30/2023
DAAA-81PP-6YTY,2311 WONDERLAND LLC,OKIE WONDERLAND MIDTOWN,Dispensary,Tulsa,Tulsa,12/30/2023
DAAA-MAO9-4J4Q,Mariteq Dispensaries LLC,Redbird Birdhouse Enid,Dispensary,Enid,Garfield,1/3/2024
DAAA-0ZFY-RLKR,"J DUB DISPENSARY, LLC","J DUB DISPENSARY, LLC",Dispensary,DURANT,Bryan,1/3/2024
PAAA-KCGU-7WBX,SUPERIOR ORGANICS LLC,SUPERIOR ORGANICS LLC,Processor,OKMULGEE,Okmulgee,1/3/2024
GAAA-FAI1-LB8S,SUPERIOR ORGANICS' OPERATIONS LLC,SUPERIOR ORGANICS' OPERATIONS LLC,Grower,TULSA,Tulsa,1/3/2024
GAAA-9PB6-SZO6,PHONG LY LLC,PHONG LY,Grower,SHAWNEE,Pottawatomie,1/3/2024
GAAA-77MN-VYS7,514 Farms LLC,514 Farms LLC,Grower,Geronimo,Comanche,1/3/2024
DAAA-R65C-8D9A,"THE FIRE PIT NO. 1, LLC","THE FIRE PIT NO. 1, LLC",Dispensary,Oklahoma City,Oklahoma,1/3/2024
DAAA-TGB8-DJ6H,OK Herbs,OK Herbs,Dispensary,Colbert,Bryan,1/3/2024
DAAA-6EDH-ZCI6,"20 Herb Street, LLC","20 Herb Street, LLC",Dispensary,Eufaula,McIntosh,1/3/2024
GAAA-BN1O-HTWK,PACHY RANCH INC,PACHY RANCH INC,Grower,Lexington,Cleveland,1/3/2024
GAAA-NLMB-OS69,Ink Farm LLC,Ink Farm LLC,Grower,Talihina,Pushmataha,1/3/2024
GAAA-6RKF-3FMI,Herbs Plantation LLC,Herbs Plantation LLC,Grower,Okmulgee,Okmulgee,1/3/2024
GAAA-9XKX-SRVT,Sui Golden Growers LLC,Sui Golden Growers LLC,Grower,Weleetka,Okfuskee,1/3/2024
GAAA-5PC4-IXR9,Michael Andrew Martin,MMK MEDICAL FARM,Grower,CLEVELAND,Pawnee,1/3/2024
DAAA-FEOJ-M4K2,Fluent786 Cannabis LLC,Fluent786 Cannabis LLC,Dispensary,Okmulgee,Okmulgee,1/3/2024
DAAA-OBLC-EOJX,S Farmers Market LLC,Sage Farmers Market,Dispensary,oklahoma city,Oklahoma,1/3/2024
GAAA-CWAG-0AYF,Four Garcia Inc.,Four Garcia Inc.,Grower,Mannford,Creek,1/3/2024
PAAA-VFV8-8SJQ,"Ardent West, LLC.","Ardent West, LLC.",Processor,Okmulgee,Okmulgee,1/3/2024
DAAA-OM1F-0Y52,Strange Astronauts,Strange Astronauts,Dispensary,Ada,Pontotoc,1/3/2024
GAAA-JG8U-N44V,XAS & Company LLC,XAS & Company LLC,Grower,Colcord,Delaware,1/3/2024
DAAA-ESU8-IUAW,Mint Ventures LLC,Mint Ventures Pharm (MVP),Dispensary,Edmond,Logan,1/3/2024
PAAA-3JCU-26RT,"Ditchweed Hillbilly Farms, LLC",Ditchweed Hillbilly Farms Processing,Processor,Roland,Sequoyah,1/3/2024
PAAA-CLQ7-9IJ6,"YWS Processing, LLC","YWS Processing, LLC",Processor,Pittsburg,Pittsburg,1/3/2024
DAAA-W7BA-9QPT,ISANA HEALTH SCIENCE LLC,penn dispensary,Dispensary,Oklahoma City,Oklahoma,1/3/2024
DAAA-OMNY-70IU,Brandon Hall,Doobies Flower shop,Dispensary,boswell,Choctaw,1/3/2024
DAAA-30YR-10J5,Border Town Dispensary LLC,Border Town Dispensary LLC,Dispensary,Pocola,Le Flore,1/3/2024
GAAA-OXIR-4RBK,Tropical Trichomes Organics LLC,Tropical Trichomes Organics LLC,Grower,Stroud,Lincoln,1/3/2024
TAAA-NA95-MUVZ,"Basecamp Transport, LLC","Basecamp Transport, LLC",Transporter,Kiefer,Creek,1/3/2024
GAAA-C7U0-IITX,"Sakred Rootz, LLC","Sakred Rootz, LLC",Grower,Ada,Pontotoc,1/3/2024
PAAA-OOWW-WBCX,Blackberry Farms LLC,Blackberry Farms LLC,Processor,ADA,Pontotoc,1/3/2024
GAAA-ZRQZ-MHAG,Bar P Hideout,Bar P Hideout,Grower,Chandler,Lincoln,1/3/2024
PAAA-7O9X-EPNR,"Bonnie Acres, LLC",Lone Wolf Family Farms,Processor,Lone Wolf,Greer,1/3/2024
DAAA-PHEF-6A8F,A Few Okie Boys LLC,A Few Okie Boys,Dispensary,Broken Bow,McCurtain,1/3/2024
GAAA-QLGK-L4Y1,Groovy Gardens LLC,Groovy Gardens LLC,Grower,Oklahoma City,Oklahoma,1/3/2024
GAAA-WDO9-EW3S,Maggie May Farms LLC,Maggie May Farms LLC,Grower,Hastings,Stephens,1/3/2024
PAAA-7M9W-NV50,Good Cabbage Extracts Inc,Good Cabbage Extracts,Processor,Jay,Delaware,1/3/2024
DAAA-LPV8-R7CE,"Stoned Flower, LLC",Stoned Flower,Dispensary,Oklahoma City,Oklahoma,1/3/2024
GAAA-HAP0-2VHH,Clever Rabbit LLC,Clever Rabbit LLC,Grower,Erick,Beckham,1/3/2024
DAAA-GQO5-N3ZG,"August-McKinney, LLC",Lakeside Dispensary,Dispensary,Tulsa,Tulsa,1/3/2024
GAAA-RJ86-4ONG,Moksha Enterprises LLC,Honor Brands,Grower,Muskogee,Muskogee,1/3/2024
PAAA-BVG8-EGAA,"Dermatology Research Center of Oklahoma, PLLC","Dermatology Research Center of Oklahoma, PLLC",Processor,Bristow,Creek,1/3/2024
GAAA-0XLW-4B0S,369 Industries LLC,369 Industries LLC,Grower,Wellston,Logan,1/3/2024
DAAA-U3R1-9J8L,RIDERS IN THE SKY LLC,KUSH GARDENS STORE 13,Dispensary,Shawnee,Pottawatomie,1/3/2024
TAAA-8MU1-902Z,SHAGGY GOAT ENTERPRISES LLC,SHAGGY GOAT ENTERPRISES LLC,Transporter,Oklahoma City,Oklahoma,1/4/2024
TAAA-EKVM-IVOA,Hemp Daddy LLC,Hemp Daddy LLC,Transporter,Paoli,Garvin,1/4/2024
TAAA-MKJ0-B8EP,Peace OK Farms LLC,Peace OK Farms LLC,Transporter,Keota,Haskell,1/4/2024
GAAA-25HQ-FVJD,True Harvest LLC,True Harvest LLC,Grower,Tulsa,Tulsa,1/4/2024
PAAA-6GY6-CSGR,1 FINE FARMACY PROCESSING LLC,1 FINE FARMACY PROCESSING LLC,Processor,Medord,Grant,1/4/2024
DAAA-VK1A-EN00,Missie's Roots Dispensary LLC,Missie's Roots Dispensary LLC,Dispensary,Boley,Okfuskee,1/4/2024
GAAA-Q5KG-I038,1 FINE FARMACY FARMS LLC,1 FINE FARMACY FARMS LLC,Grower,Medford,Grant,1/4/2024
DAAA-D5XZ-F6GT,THE GARDEN HOUSE WELLNESS LLC,THE GARDEN HOUSE WELLNESS LLC,Dispensary,Enid,Garfield,1/4/2024
DAAA-QE0P-SKHO,1 FINE FARMACY LLC,1 FINE FARMACY LLC,Dispensary,Medford,Grant,1/4/2024
DAAA-R1CE-VT81,Sharjo Holdings Limited Liability Co,Sharjo Holdings Limited Liability Co,Dispensary,Dustin,Hughes,1/4/2024
DAAA-XZTH-5JPC,OKIE HIGHLAND FARMS LLC,WEED STOP,Dispensary,Bartlesville,Washington,1/4/2024
DAAA-Z625-F8J6,Mango Group Norman LLC,Mango Group Norman LLC,Dispensary,Norman,Cleveland,1/4/2024
GAAA-DQUZ-TWZ1,"Adair Country Cannabis, LLC","Adair Country Cannabis, LLC",Grower,Adair,Mayes,1/4/2024
GAAA-ZHY4-ZGBD,"Okemah Park 56, LLC","Okemah Park 56, LLC",Grower,Okemah,Seminole,1/4/2024
PAAA-MXO7-HMVE,Sharjo Holdings Limited Liability Co,Sharjo Holdings Limited Liability Co,Processor,Dustin,Hughes,1/4/2024
LAAA-UMR5-4Y6V,Bloom Labs LLC,Kine Laboratory,Testing Laboratory,Stillwater,Payne,1/4/2024
DAAA-8ZMT-YDSK,"Okemah Park 56, LLC","Okemah Park 56, LLC",Dispensary,Okemah,Seminole,1/4/2024
DAAA-YC2K-POYH,Tuttle Terp Vibez LLC,"Tuttle Terp Vibez, LLC",Dispensary,Tuttle,Grady,1/4/2024
PAAA-PMZI-NA3S,Organic Meds LLC,North Star Cannabis,Processor,Wannette,Pottawatomie,1/4/2024
TAAA-QKN2-A32Z,Holy Grounds Haulin LLC,Holy Grounds Haulin LLC,Transporter,Ada,Pontotoc,1/4/2024
GAAA-FC89-BVHG,WHITE EAGLE EYE INC,WHITE EAGLE EYE INC,Grower,"ERICK, OK 73645",Beckham,1/4/2024
PAAA-WDFY-BM4P,Utokem,Utokem,Processor,CLAREMORE,Rogers,1/4/2024
PAAA-RL2H-PAB0,"WILDWOOD FLOWER PHARM, LLC","WILDWOOD FLOWER PHARM, LLC",Processor,Kingston,Marshall,1/4/2024
DAAA-V7GO-0WSL,Werewolf Farm Supply Co. LLC,Werewolf Farm Supply Co,Dispensary,Lawton,Comanche,1/4/2024
DAAA-1NPD-P2JZ,2604 KG MUSKOGEE,KUSH GARDENS STORE 12,Dispensary,Muskogee,Muskogee,1/4/2024
GAAA-LEZV-VNNW,Rich.ly Rooted,Rich.ly Rooted LLC,Grower,Oklahoma City,Oklahoma,1/4/2024
WAAA-Y6CA-4AQA,"Whatawaste, LLC.","Whatawaste, LLC",Waste Disposal Facility,Norman,Cleveland,1/4/2024
GAAA-S76F-5JQL,CS300 LLC,CS300 LLC,Grower,Wagoner,Wagoner,1/4/2024
GAAA-7G78-26FX,KaBloom LLC,KaBloom LLC,Grower,Overbrook,Love,1/4/2024
DAAA-TWDQ-012U,GE M DISPENSARY THREE LLC,GE M DISPENSARY THREE LLC,Dispensary,ROSE,Delaware,1/4/2024
GAAA-42EM-NF3P,"Modern Medical, LLC","Modern Medical, LLC",Grower,Shawnee,Pottawatomie,1/4/2024
GAAA-AATB-2I5A,DQ888 LLC,DQ888 LLC,Grower,STIGLER,Haskell,1/4/2024
